"","GEOID","NAME","tract","county","total_workers","essential","nonessential","conman","food","health","protection","socialservices","transport","total_pop","nonwhite_pct","pov_pct","hh_inc_med"
"1","17031010100","Census Tract 101, Cook County, Illinois","101","Cook",2494,0.354049719326383,0.645950280673617,0.086607858861267,0.057738572574178,0.0344827586206897,0.0204490777866881,0.0212510024057739,0.133520449077787,4522,0.59,0.358,37985
"2","17031010201","Census Tract 102.01, Cook County, Illinois","102.01","Cook",3067,0.486468862080209,0.513531137919791,0.12292142158461,0.0789044669057711,0.112813824584284,0.0091294424519074,0.039126181936746,0.123573524616889,7039,0.676,0.368,39549
"3","17031010202","Census Tract 102.02, Cook County, Illinois","102.02","Cook",1362,0.439794419970631,0.560205580029369,0.154919236417034,0.124082232011747,0.0535976505139501,0.0176211453744493,0.00587371512481645,0.0837004405286344,2852,0.715,0.185,38370
"4","17031010300","Census Tract 103, Cook County, Illinois","103","Cook",3216,0.430659203980099,0.569340796019901,0.10634328358209,0.0967039800995025,0.078047263681592,0.0211442786069652,0.0388681592039801,0.0895522388059701,6650,0.537,0.161,38866
"5","17031010400","Census Tract 104, Cook County, Illinois","104","Cook",2593,0.244118781334362,0.755881218665638,0.063632857693791,0.0674893945237177,0.0416505977632086,0.0239105283455457,0.0146548399537216,0.0327805630543772,5153,0.333,0.191,39152
"6","17031010501","Census Tract 105.01, Cook County, Illinois","105.01","Cook",2641,0.476713366149186,0.523286633850814,0.105641802347596,0.0859522907989398,0.0848163574403635,0.0496024233244983,0.029155622870125,0.121544869367664,4147,0.544,0.207,34455
"7","17031010502","Census Tract 105.02, Cook County, Illinois","105.02","Cook",1935,0.331782945736434,0.668217054263566,0.055297157622739,0.119896640826873,0.0511627906976744,0,0.0470284237726098,0.0583979328165375,2802,0.485,0.3,37500
"8","17031010503","Census Tract 105.03, Cook County, Illinois","105.03","Cook",779,0.364569961489089,0.635430038510911,0.0256739409499358,0.16816431322208,0.0693196405648267,0,0.030808729139923,0.0706033376123235,1713,0.374,0.48,20357
"9","17031010600","Census Tract 106, Cook County, Illinois","106","Cook",3874,0.323696437790397,0.676303562209603,0.0939597315436242,0.0296850800206505,0.0898296334537945,0.0160041300980898,0.0265875064532783,0.0676303562209603,6271,0.439,0.244,47549
"10","17031010701","Census Tract 107.01, Cook County, Illinois","107.01","Cook",2123,0.535562882713142,0.464437117286858,0.143193593970796,0.180876118699953,0.0942063118228921,0.0155440414507772,0.0254357041921809,0.0763071125765426,3766,0.598,0.208,55529
"11","17031010702","Census Tract 107.02, Cook County, Illinois","107.02","Cook",2819,0.511174175239447,0.488825824760553,0.0961333806314296,0.184462575381341,0.0911670805250089,0.00319262149698475,0.0432777580702377,0.0929407591344448,5096,0.696,0.242,41161
"12","17031020100","Census Tract 201, Cook County, Illinois","201","Cook",1974,0.567375886524823,0.432624113475177,0.134245187436677,0.149949341438703,0.103850050658561,0.0126646403242148,0.0511651469098278,0.115501519756839,3836,0.682,0.142,51346
"13","17031020200","Census Tract 202, Cook County, Illinois","202","Cook",2838,0.445736434108527,0.554263565891473,0.072938689217759,0.0792811839323467,0.156800563777308,0.00739957716701903,0.0295983086680761,0.0997181113460183,6739,0.527,0.135,66831
"14","17031020301","Census Tract 203.01, Cook County, Illinois","203.01","Cook",2143,0.384041063929071,0.615958936070929,0.162855809612692,0.0368642090527298,0.0695286980867942,0.00886607559496034,0.0611292580494634,0.0447970135324312,5472,0.261,0.136,54496
"15","17031020302","Census Tract 203.02, Cook County, Illinois","203.02","Cook",2423,0.396203054065208,0.603796945934792,0.144449030127941,0.0763516302104829,0.0870821295914156,0.0243499793644243,0.0198101527032604,0.0441601320676847,5348,0.443,0.228,72572
"16","17031020400","Census Tract 204, Cook County, Illinois","204","Cook",2141,0.441382531527324,0.558617468472676,0.143858010275572,0.035964502568893,0.12330686595049,0.0289584306398879,0.0107426436244745,0.0985520784680056,4236,0.581,0.179,63977
"17","17031020500","Census Tract 205, Cook County, Illinois","205","Cook",2691,0.656261612783352,0.343738387216648,0.134894091415831,0.132292827945002,0.10182088442958,0.0360460795243404,0.0133779264214047,0.237829803047194,6584,0.829,0.263,41432
"18","17031020601","Census Tract 206.01, Cook County, Illinois","206.01","Cook",2517,0.357568533969011,0.642431466030989,0.133094954310687,0.00993245927691696,0.077870480731029,0,0.023440603893524,0.113230035756853,6131,0.426,0.243,41308
"19","17031020602","Census Tract 206.02, Cook County, Illinois","206.02","Cook",2079,0.44973544973545,0.55026455026455,0.0894660894660895,0.195286195286195,0.0678210678210678,0.012987012987013,0.0264550264550265,0.0577200577200577,4734,0.582,0.22,53234
"20","17031020701","Census Tract 207.01, Cook County, Illinois","207.01","Cook",830,0.368674698795181,0.631325301204819,0.0831325301204819,0.036144578313253,0.11566265060241,0.027710843373494,0.0313253012048193,0.0746987951807229,1748,0.362,0.066,91477
"21","17031020702","Census Tract 207.02, Cook County, Illinois","207.02","Cook",3392,0.596992924528302,0.403007075471698,0.204893867924528,0.080188679245283,0.0728183962264151,0.00825471698113208,0.0533608490566038,0.17747641509434,7674,0.554,0.221,47063
"22","17031020801","Census Tract 208.01, Cook County, Illinois","208.01","Cook",3451,0.463054187192118,0.536945812807882,0.185163720660678,0.0446247464503043,0.0811359026369168,0.00782381918284555,0.0226021443059983,0.121703853955375,6112,0.609,0.165,51467
"23","17031020802","Census Tract 208.02, Cook County, Illinois","208.02","Cook",3802,0.55339295107838,0.44660704892162,0.117043661230931,0.132824829037349,0.130457653866386,0,0.00447133087848501,0.168595476065229,7952,0.724,0.262,48067
"24","17031020901","Census Tract 209.01, Cook County, Illinois","209.01","Cook",3047,0.514276337381031,0.485723662618969,0.162454873646209,0.0735149327207089,0.0843452576304562,0.0114867082376108,0.0105021332458156,0.17197243190023,5966,0.779,0.289,49901
"25","17031020902","Census Tract 209.02, Cook County, Illinois","209.02","Cook",2024,0.526185770750988,0.473814229249012,0.222332015810277,0.0726284584980237,0.091897233201581,0.0133399209486166,0.00988142292490119,0.116106719367589,4680,0.587,0.267,37405
"26","17031030101","Census Tract 301.01, Cook County, Illinois","301.01","Cook",1915,0.496605744125326,0.503394255874674,0.187467362924282,0.111227154046997,0.0929503916449086,0.0130548302872063,0.0381201044386423,0.0537859007832898,3768,0.614,0.147,48927
"27","17031030102","Census Tract 301.02, Cook County, Illinois","301.02","Cook",1698,0.230270906949352,0.769729093050648,0.0382803297997644,0.0382803297997644,0.0795053003533569,0,0.0153121319199058,0.0588928150765607,2703,0.475,0.162,45086
"28","17031030103","Census Tract 301.03, Cook County, Illinois","301.03","Cook",1171,0.30401366353544,0.69598633646456,0.0546541417591802,0.0520922288642186,0.0392826643894108,0.0409906063193851,0.0777113578138343,0.0392826643894108,2252,0.526,0.166,49103
"29","17031030104","Census Tract 301.04, Cook County, Illinois","301.04","Cook",1720,0.341860465116279,0.658139534883721,0.0377906976744186,0.156976744186047,0.0651162790697674,0.022093023255814,0.0127906976744186,0.047093023255814,3569,0.366,0.279,37586
"30","17031030200","Census Tract 302, Cook County, Illinois","302","Cook",3350,0.285074626865672,0.714925373134328,0.0576119402985075,0.0411940298507463,0.0862686567164179,0.013134328358209,0.0644776119402985,0.0223880597014925,5444,0.229,0.143,65810
